RowIndex,TimestampMs,PpgGreen,PpgRed,PpgIr,AccX,AccY,AccZ,HeartRate,IBI_ms
Row 110 | Timestamp: 1710811995999 ms | PPG(Green=1774368, Red=1774368, Ir=1774368) | ACC(X=9.07247257232666, Y=-3.24530124664307, Z=1.2358490228653) | HR=72 bpm | IBI=647 ms | Participant=P02
Row 872 | Timestamp: 1710812026564 ms | PPG(Green=1814924, Red=1814924, Ir=1814924) | ACC(X=-2.58187055587769, Y=-8.24378299713135, Z=4.67514991760254) | HR=98 bpm | IBI=603 ms | Participant=P02
Row 873 | Timestamp: 1710812026603 ms | PPG(Green=1815912, Red=1815912, Ir=1815912) | ACC(X=-2.66809248924255, Y=-8.22222805023193, Z=4.65119934082031) | HR=98 bpm | IBI=596 ms | Participant=P02
Row 874 | Timestamp: 1710812026644 ms | PPG(Green=1817406, Red=1817406, Ir=1817406) | ACC(X=-2.51480889320374, Y=-8.27731418609619, Z=4.6416187286377) | HR=97 bpm | IBI=525 ms | Participant=P02
Row 875 | Timestamp: 1710812026684 ms | PPG(Green=1818849, Red=1818849, Ir=1818849) | ACC(X=-2.59145069122314, Y=-8.34677124023438, Z=4.56976699829102) | HR=97 bpm | IBI=715 ms | Participant=P02
Row 876 | Timestamp: 1710812026724 ms | PPG(Green=1820389, Red=1820389, Ir=1820389) | ACC(X=-2.53636455535889, Y=-8.2916841506958, Z=4.67514991760254) | HR=97 bpm | IBI=590 ms | Participant=P02
Row 877 | Timestamp: 1710812026765 ms | PPG(Green=1821942, Red=1821942, Ir=1821942) | ACC(X=-2.56750011444092, Y=-8.28689479827881, Z=4.6416187286377) | HR=96 bpm | IBI=415 ms | Participant=P02
Row 880 | Timestamp: 1710812026884 ms | PPG(Green=1827021, Red=1827021, Ir=1827021) | ACC(X=-2.52438926696777, Y=-8.29887008666992, Z=4.63443374633789) | HR=96 bpm | IBI=821 ms | Participant=P02
Row 1171 | Timestamp: 1710812038556 ms | PPG(Green=2022901, Red=2022901, Ir=2022901) | ACC(X=2.63456177711487, Y=-9.23294162750244, Z=-1.81545257568359) | HR=76 bpm | IBI=801 ms | Participant=P02
Row 1305 | Timestamp: 1710812043932 ms | PPG(Green=1978139, Red=1978139, Ir=1978139) | ACC(X=-2.57947540283203, Y=-3.19021487236023, Z=9.70237255096436) | HR=87 bpm | IBI=746 ms | Participant=P02
Row 1584 | Timestamp: 1710812055122 ms | PPG(Green=1840654, Red=1840654, Ir=1840654) | ACC(X=-2.3687105178833, Y=-8.85691738128662, Z=3.34349846839905) | HR=89 bpm | IBI=701 ms | Participant=P02
Row 2499 | Timestamp: 1710812091819 ms | PPG(Green=2004107, Red=2004107, Ir=2004107) | ACC(X=2.28488349914551, Y=-8.61980724334717, Z=-4.05004024505615) | HR=74 bpm | IBI=883 ms | Participant=P02
Row 3223 | Timestamp: 1710812120861 ms | PPG(Green=2007568, Red=2007568, Ir=2007568) | ACC(X=2.33757495880127, Y=-8.66291809082031, Z=-3.99495363235474) | HR=78 bpm | IBI=803 ms | Participant=P02
Row 3695 | Timestamp: 1710812139793 ms | PPG(Green=1987235, Red=1987235, Ir=1987235) | ACC(X=2.41661167144775, Y=-8.61741256713867, Z=-4.03566980361938) | HR=154 bpm | IBI=747 ms | Participant=P02
