RowIndex,TimestampMs,PpgGreen,PpgRed,PpgIr,AccX,AccY,AccZ,HeartRate,IBI_ms
Row 652 | Timestamp: 1710999874316 ms | PPG(Green=1967018, Red=1967018, Ir=1967018) | ACC(X=-3.42972040176392, Y=-6.67262649536133, Z=11.9561204910278) | HR=70 bpm | IBI=507 ms | Participant=P06
Row 1034 | Timestamp: 1710999889643 ms | PPG(Green=2173135, Red=2173135, Ir=2173135) | ACC(X=-3.48720169067383, Y=-2.77826523780823, Z=8.76590538024902) | HR=74 bpm | IBI=719 ms | Participant=P06
Row 1035 | Timestamp: 1710999889683 ms | PPG(Green=2173606, Red=2173606, Ir=2173606) | ACC(X=-3.4177451133728, Y=-2.81658601760864, Z=8.80183124542236) | HR=74 bpm | IBI=1240 ms | Participant=P06
Row 1036 | Timestamp: 1710999889723 ms | PPG(Green=2174134, Red=2174134, Ir=2174134) | ACC(X=-3.46325135231018, Y=-2.89083290100098, Z=8.74674510955811) | HR=75 bpm | IBI=832 ms | Participant=P06
Row 1038 | Timestamp: 1710999889804 ms | PPG(Green=2174898, Red=2174898, Ir=2174898) | ACC(X=-3.38421440124512, Y=-2.85969710350037, Z=8.72997951507568) | HR=75 bpm | IBI=806 ms | Participant=P06
Row 1810 | Timestamp: 1710999920772 ms | PPG(Green=1733523, Red=1733523, Ir=1733523) | ACC(X=-1.75557613372803, Y=-2.96268439292908, Z=9.25928688049316) | HR=71 bpm | IBI=687 ms | Participant=P06
Row 1847 | Timestamp: 1710999922257 ms | PPG(Green=1781821, Red=1781821, Ir=1781821) | ACC(X=-1.68372452259064, Y=-2.93873405456543, Z=9.23533630371094) | HR=68 bpm | IBI=938 ms | Participant=P06
Row 2192 | Timestamp: 1710999936099 ms | PPG(Green=1756963, Red=1756963, Ir=1756963) | ACC(X=-1.02987420558929, Y=-2.25853800773621, Z=9.60417556762695) | HR=82 bpm | IBI=740 ms | Participant=P06
Row 2519 | Timestamp: 1710999949209 ms | PPG(Green=2123552, Red=2123552, Ir=2123552) | ACC(X=-1.15441703796387, Y=-1.16639232635498, Z=9.84607601165772) | HR=81 bpm | IBI=673 ms | Participant=P06
Row 2520 | Timestamp: 1710999949249 ms | PPG(Green=2123260, Red=2123260, Ir=2123260) | ACC(X=-1.14723193645477, Y=-1.06100988388062, Z=9.68560695648193) | HR=81 bpm | IBI=614 ms | Participant=P06
Row 3043 | Timestamp: 1710999970228 ms | PPG(Green=1524671, Red=1524671, Ir=1524671) | ACC(X=-0.792763590812683, Y=-6.22235584259033, Z=7.54203176498413) | HR=99 bpm | IBI=260 ms | Participant=P06
Row 3277 | Timestamp: 1710999979611 ms | PPG(Green=1521701, Red=1521701, Ir=1521701) | ACC(X=-0.874195516109467, Y=-5.89662837982178, Z=7.82943868637085) | HR=98 bpm | IBI=604 ms | Participant=P06
