RowIndex,Reason,OriginalLine
0,HeartRate out of range,Row 0 | Timestamp: 1711604681579 ms | PPG(Green=2097152, Red=2097152, Ir=2097152) | ACC(X=-1.95436584949493, Y=-1.4418238401413, Z=9.55387878417969) | HR=0 bpm | IBI=0 ms | Participant=P13
1,HeartRate out of range,Row 1 | Timestamp: 1711604681621 ms | PPG(Green=2097152, Red=2097152, Ir=2097152) | ACC(X=-1.91843998432159, Y=-1.58552718162537, Z=9.59699058532715) | HR=0 bpm | IBI=0 ms | Participant=P13
2,HeartRate out of range,Row 2 | Timestamp: 1711604681662 ms | PPG(Green=2510976, Red=2510976, Ir=2510976) | ACC(X=-1.94718062877655, Y=-1.54960131645203, Z=9.48442268371582) | HR=0 bpm | IBI=0 ms | Participant=P13
3,HeartRate out of range,Row 3 | Timestamp: 1711604681700 ms | PPG(Green=2511019, Red=2511019, Ir=2511019) | ACC(X=-1.96155107021332, Y=-1.59271240234375, Z=9.44610118865967) | HR=0 bpm | IBI=0 ms | Participant=P13
4,HeartRate out of range,Row 4 | Timestamp: 1711604681740 ms | PPG(Green=2511017, Red=2511017, Ir=2511017) | ACC(X=-1.94478559494019, Y=-1.5256507396698, Z=9.4676570892334) | HR=0 bpm | IBI=0 ms | Participant=P13
5,HeartRate out of range,Row 5 | Timestamp: 1711604681780 ms | PPG(Green=2511098, Red=2511098, Ir=2511098) | ACC(X=-2.02382254600525, Y=-1.52086067199707, Z=9.48921298980713) | HR=0 bpm | IBI=0 ms | Participant=P13
6,HeartRate out of range,Row 6 | Timestamp: 1711604681821 ms | PPG(Green=2511163, Red=2511163, Ir=2511163) | ACC(X=-1.99268674850464, Y=-1.51607060432434, Z=9.54429912567139) | HR=0 bpm | IBI=0 ms | Participant=P13
7,HeartRate out of range,Row 7 | Timestamp: 1711604681860 ms | PPG(Green=2511163, Red=2511163, Ir=2511163) | ACC(X=-1.96873617172241, Y=-1.61905801296234, Z=9.49160766601562) | HR=0 bpm | IBI=0 ms | Participant=P13
8,HeartRate out of range,Row 8 | Timestamp: 1711604681901 ms | PPG(Green=2511333, Red=2511333, Ir=2511333) | ACC(X=-2.01663732528686, Y=-1.56157660484314, Z=9.5634593963623) | HR=0 bpm | IBI=0 ms | Participant=P13
9,HeartRate out of range,Row 9 | Timestamp: 1711604681941 ms | PPG(Green=2511383, Red=2511383, Ir=2511383) | ACC(X=-1.9495757818222, Y=-1.63582336902618, Z=9.47244739532471) | HR=0 bpm | IBI=0 ms | Participant=P13
10,HeartRate out of range,Row 10 | Timestamp: 1711604681981 ms | PPG(Green=2511453, Red=2511453, Ir=2511453) | ACC(X=-1.96634113788605, Y=-1.4873298406601, Z=9.53471851348877) | HR=0 bpm | IBI=0 ms | Participant=P13
11,HeartRate out of range,Row 11 | Timestamp: 1711604682022 ms | PPG(Green=2511181, Red=2511181, Ir=2511181) | ACC(X=-2.01184725761414, Y=-1.55439150333405, Z=9.48681735992432) | HR=0 bpm | IBI=0 ms | Participant=P13
12,HeartRate out of range,Row 12 | Timestamp: 1711604682061 ms | PPG(Green=2132868, Red=2132868, Ir=2132868) | ACC(X=-1.94718062877655, Y=-1.54241621494293, Z=9.45568180084228) | HR=0 bpm | IBI=0 ms | Participant=P13
