RowIndex,Reason,OriginalLine
0,HeartRate out of range,Row 0 | Timestamp: 1712016476222 ms | PPG(Green=2097152, Red=2097152, Ir=2097152) | ACC(X=2.3687105178833, Y=0.581998646259308, Z=9.58501529693604) | HR=0 bpm | IBI=0 ms | Participant=P15
1,HeartRate out of range,Row 1 | Timestamp: 1712016476265 ms | PPG(Green=2441861, Red=2441861, Ir=2441861) | ACC(X=2.28488349914551, Y=0.677800893783569, Z=9.6544713973999) | HR=0 bpm | IBI=0 ms | Participant=P15
2,HeartRate out of range,Row 2 | Timestamp: 1712016476303 ms | PPG(Green=2442219, Red=2442219, Ir=2442219) | ACC(X=2.30643916130066, Y=0.550862908363342, Z=9.6448917388916) | HR=0 bpm | IBI=0 ms | Participant=P15
3,HeartRate out of range,Row 3 | Timestamp: 1712016476342 ms | PPG(Green=2442333, Red=2442333, Ir=2442333) | ACC(X=2.31122922897339, Y=0.380813926458359, Z=9.50597763061523) | HR=0 bpm | IBI=0 ms | Participant=P15
4,HeartRate out of range,Row 4 | Timestamp: 1712016476384 ms | PPG(Green=2442191, Red=2442191, Ir=2442191) | ACC(X=2.38308095932007, Y=0.402369439601898, Z=9.5490894317627) | HR=0 bpm | IBI=0 ms | Participant=P15
5,HeartRate out of range,Row 5 | Timestamp: 1712016476423 ms | PPG(Green=2441987, Red=2441987, Ir=2441987) | ACC(X=2.41661167144775, Y=0.505356848239899, Z=9.55148410797119) | HR=0 bpm | IBI=0 ms | Participant=P15
6,HeartRate out of range,Row 6 | Timestamp: 1712016476463 ms | PPG(Green=2442030, Red=2442030, Ir=2442030) | ACC(X=2.39745116233826, Y=0.507751941680908, Z=9.53471851348877) | HR=0 bpm | IBI=0 ms | Participant=P15
7,HeartRate out of range,Row 7 | Timestamp: 1712016476503 ms | PPG(Green=2442106, Red=2442106, Ir=2442106) | ACC(X=2.34475994110107, Y=0.490986526012421, Z=9.59220027923584) | HR=0 bpm | IBI=0 ms | Participant=P15
8,HeartRate out of range,Row 8 | Timestamp: 1712016476543 ms | PPG(Green=2442258, Red=2442258, Ir=2442258) | ACC(X=2.33517980575562, Y=0.536492586135864, Z=9.51316356658936) | HR=0 bpm | IBI=0 ms | Participant=P15
9,HeartRate out of range,Row 9 | Timestamp: 1712016476584 ms | PPG(Green=2442493, Red=2442493, Ir=2442493) | ACC(X=2.36152529716492, Y=0.550862908363342, Z=9.58740997314453) | HR=0 bpm | IBI=0 ms | Participant=P15
10,HeartRate out of range,Row 10 | Timestamp: 1712016476623 ms | PPG(Green=2127113, Red=2127113, Ir=2127113) | ACC(X=2.20584678649902, Y=0.536492586135864, Z=9.48202705383301) | HR=0 bpm | IBI=0 ms | Participant=P15
11,HeartRate out of range,Row 11 | Timestamp: 1712016476663 ms | PPG(Green=2127487, Red=2127487, Ir=2127487) | ACC(X=2.31601929664612, Y=0.555653035640717, Z=9.53232383728027) | HR=0 bpm | IBI=0 ms | Participant=P15
12,IBI out of range,Row 12 | Timestamp: 1712016476703 ms | PPG(Green=2127814, Red=2127814, Ir=2127814) | ACC(X=2.16992092132568, Y=0.596368968486786, Z=9.51555824279785) | HR=89 bpm | IBI=0 ms | Participant=P15
13,IBI out of range,Row 13 | Timestamp: 1712016476743 ms | PPG(Green=2128356, Red=2128356, Ir=2128356) | ACC(X=2.37829089164734, Y=0.617924511432648, Z=9.4676570892334) | HR=89 bpm | IBI=0 ms | Participant=P15
15,IBI out of range,Row 15 | Timestamp: 1712016476823 ms | PPG(Green=2098911, Red=2098911, Ir=2098911) | ACC(X=2.18429136276245, Y=0.56523323059082, Z=9.52513885498047) | HR=89 bpm | IBI=0 ms | Participant=P15
16,IBI out of range,Row 16 | Timestamp: 1712016476864 ms | PPG(Green=2099879, Red=2099879, Ir=2099879) | ACC(X=2.26572322845459, Y=0.546072840690613, Z=9.61854553222656) | HR=89 bpm | IBI=0 ms | Participant=P15
17,IBI out of range,Row 17 | Timestamp: 1712016476904 ms | PPG(Green=2100780, Red=2100780, Ir=2100780) | ACC(X=2.10525441169739, Y=0.555653035640717, Z=9.61375522613525) | HR=89 bpm | IBI=0 ms | Participant=P15
18,IBI out of range,Row 18 | Timestamp: 1712016476944 ms | PPG(Green=2101535, Red=2101535, Ir=2101535) | ACC(X=2.31601929664612, Y=0.474221110343933, Z=9.58740997314453) | HR=88 bpm | IBI=0 ms | Participant=P15
19,IBI out of range,Row 19 | Timestamp: 1712016476985 ms | PPG(Green=2102172, Red=2102172, Ir=2102172) | ACC(X=1.892094373703, Y=0.74725753068924, Z=9.61136054992676) | HR=88 bpm | IBI=0 ms | Participant=P15
20,IBI out of range,Row 20 | Timestamp: 1712016477024 ms | PPG(Green=2112068, Red=2112068, Ir=2112068) | ACC(X=2.20105671882629, Y=0.651455283164978, Z=9.71674251556396) | HR=87 bpm | IBI=0 ms | Participant=P15
21,IBI out of range,Row 21 | Timestamp: 1712016477064 ms | PPG(Green=2114144, Red=2114144, Ir=2114144) | ACC(X=2.21303200721741, Y=0.615529417991638, Z=9.7382984161377) | HR=87 bpm | IBI=0 ms | Participant=P15
22,IBI out of range,Row 22 | Timestamp: 1712016477104 ms | PPG(Green=2115698, Red=2115698, Ir=2115698) | ACC(X=2.23219227790833, Y=0.7400723695755, Z=9.70716285705566) | HR=86 bpm | IBI=0 ms | Participant=P15
23,IBI out of range,Row 23 | Timestamp: 1712016477144 ms | PPG(Green=2116259, Red=2116259, Ir=2116259) | ACC(X=2.11004447937012, Y=0.684986054897308, Z=9.743088722229) | HR=87 bpm | IBI=0 ms | Participant=P15
24,IBI out of range,Row 24 | Timestamp: 1712016477185 ms | PPG(Green=2115649, Red=2115649, Ir=2115649) | ACC(X=2.1435751914978, Y=0.615529417991638, Z=9.59220027923584) | HR=87 bpm | IBI=0 ms | Participant=P15
25,IBI out of range,Row 25 | Timestamp: 1712016477224 ms | PPG(Green=2115270, Red=2115270, Ir=2115270) | ACC(X=2.1172297000885, Y=0.682591021060944, Z=9.56824970245361) | HR=87 bpm | IBI=0 ms | Participant=P15
26,IBI out of range,Row 26 | Timestamp: 1712016477264 ms | PPG(Green=2115313, Red=2115313, Ir=2115313) | ACC(X=2.2082417011261, Y=0.699356436729431, Z=9.58740997314453) | HR=86 bpm | IBI=0 ms | Participant=P15
27,IBI out of range,Row 27 | Timestamp: 1712016477304 ms | PPG(Green=2115655, Red=2115655, Ir=2115655) | ACC(X=2.08369898796082, Y=0.720911920070648, Z=9.59699058532715) | HR=86 bpm | IBI=0 ms | Participant=P15
28,IBI out of range,Row 28 | Timestamp: 1712016477345 ms | PPG(Green=2116351, Red=2116351, Ir=2116351) | ACC(X=2.17231607437134, Y=0.804738879203796, Z=9.59699058532715) | HR=86 bpm | IBI=0 ms | Participant=P15
29,IBI out of range,Row 29 | Timestamp: 1712016477386 ms | PPG(Green=2117313, Red=2117313, Ir=2117313) | ACC(X=2.03819274902344, Y=0.823899328708649, Z=9.60177993774414) | HR=86 bpm | IBI=0 ms | Participant=P15
30,IBI out of range,Row 30 | Timestamp: 1712016477425 ms | PPG(Green=2118150, Red=2118150, Ir=2118150) | ACC(X=2.05256319046021, Y=0.790368556976318, Z=9.70476722717285) | HR=86 bpm | IBI=0 ms | Participant=P15
31,IBI out of range,Row 31 | Timestamp: 1712016477465 ms | PPG(Green=2119211, Red=2119211, Ir=2119211) | ACC(X=2.06932854652405, Y=0.811924040317535, Z=9.67602729797363) | HR=86 bpm | IBI=0 ms | Participant=P15
32,IBI out of range,Row 32 | Timestamp: 1712016477505 ms | PPG(Green=2120019, Red=2120019, Ir=2120019) | ACC(X=2.05495810508728, Y=0.864615261554718, Z=9.59699058532715) | HR=86 bpm | IBI=0 ms | Participant=P15
33,IBI out of range,Row 33 | Timestamp: 1712016477545 ms | PPG(Green=2121488, Red=2121488, Ir=2121488) | ACC(X=1.98789668083191, Y=0.77599823474884, Z=9.6568660736084) | HR=86 bpm | IBI=0 ms | Participant=P15
34,IBI out of range,Row 34 | Timestamp: 1712016477586 ms | PPG(Green=2122940, Red=2122940, Ir=2122940) | ACC(X=2.05735325813293, Y=0.845454812049866, Z=9.60177993774414) | HR=87 bpm | IBI=0 ms | Participant=P15
