RowIndex,TimestampMs,PpgGreen,PpgRed,PpgIr,AccX,AccY,AccZ,HeartRate,IBI_ms
Row 14 | Timestamp: 1712016476784 ms | PPG(Green=2128920, Red=2128920, Ir=2128920) | ACC(X=2.23219227790833, Y=0.56523323059082, Z=9.34550952911377) | HR=89 bpm | IBI=684 ms | Participant=P15
Row 423 | Timestamp: 1712016493237 ms | PPG(Green=2371325, Red=2371325, Ir=2371325) | ACC(X=-5.62598705291748, Y=-1.51128041744232, Z=8.03062343597412) | HR=89 bpm | IBI=781 ms | Participant=P15
Row 1023 | Timestamp: 1712016517332 ms | PPG(Green=2538704, Red=2538704, Ir=2538704) | ACC(X=-5.29786443710327, Y=-4.94579124450684, Z=6.65825605392456) | HR=77 bpm | IBI=724 ms | Participant=P15
Row 1514 | Timestamp: 1712016537069 ms | PPG(Green=2540699, Red=2540699, Ir=2540699) | ACC(X=-5.48946857452393, Y=-5.17571640014648, Z=6.2367262840271) | HR=89 bpm | IBI=668 ms | Participant=P15
Row 1515 | Timestamp: 1712016537109 ms | PPG(Green=2541720, Red=2541720, Ir=2541720) | ACC(X=-5.51820945739746, Y=-5.15655612945557, Z=6.33971357345581) | HR=89 bpm | IBI=676 ms | Participant=P15
Row 1516 | Timestamp: 1712016537149 ms | PPG(Green=2542818, Red=2542818, Ir=2542818) | ACC(X=-5.45354270935059, Y=-5.10865497589111, Z=6.27025699615479) | HR=90 bpm | IBI=701 ms | Participant=P15
Row 1518 | Timestamp: 1712016537229 ms | PPG(Green=2544806, Red=2544806, Ir=2544806) | ACC(X=-5.40085172653198, Y=-5.16374111175537, Z=6.2439112663269) | HR=90 bpm | IBI=605 ms | Participant=P15
Row 1619 | Timestamp: 1712016541280 ms | PPG(Green=2567387, Red=2567387, Ir=2567387) | ACC(X=-5.52060461044312, Y=-5.22840785980225, Z=6.28462743759155) | HR=85 bpm | IBI=644 ms | Participant=P15
Row 1915 | Timestamp: 1712016553145 ms | PPG(Green=2551356, Red=2551356, Ir=2551356) | ACC(X=-5.40803670883179, Y=-5.26193857192993, Z=6.21996068954468) | HR=94 bpm | IBI=747 ms | Participant=P15
Row 1919 | Timestamp: 1712016553306 ms | PPG(Green=2548248, Red=2548248, Ir=2548248) | ACC(X=-5.38887643814087, Y=-5.25714826583862, Z=6.25588655471802) | HR=93 bpm | IBI=683 ms | Participant=P15
Row 2159 | Timestamp: 1712016562949 ms | PPG(Green=2509793, Red=2509793, Ir=2509793) | ACC(X=-5.42959260940552, Y=-5.21164226531982, Z=6.16008472442627) | HR=76 bpm | IBI=755 ms | Participant=P15
Row 2160 | Timestamp: 1712016562988 ms | PPG(Green=2510276, Red=2510276, Ir=2510276) | ACC(X=-5.51581430435181, Y=-5.24038314819336, Z=6.18164014816284) | HR=77 bpm | IBI=798 ms | Participant=P15
Row 2165 | Timestamp: 1712016563189 ms | PPG(Green=2513744, Red=2513744, Ir=2513744) | ACC(X=-5.39127159118652, Y=-5.29307413101196, Z=6.1840353012085) | HR=79 bpm | IBI=774 ms | Participant=P15
Row 2166 | Timestamp: 1712016563229 ms | PPG(Green=2515388, Red=2515388, Ir=2515388) | ACC(X=-5.3745059967041, Y=-5.29786443710327, Z=6.16966485977173) | HR=79 bpm | IBI=749 ms | Participant=P15
Row 2167 | Timestamp: 1712016563269 ms | PPG(Green=2516864, Red=2516864, Ir=2516864) | ACC(X=-5.4128270149231, Y=-5.23080253601074, Z=6.17924499511719) | HR=78 bpm | IBI=700 ms | Participant=P15
Row 2190 | Timestamp: 1712016564191 ms | PPG(Green=2508666, Red=2508666, Ir=2508666) | ACC(X=-5.4631233215332, Y=-5.25954341888428, Z=6.19601058959961) | HR=80 bpm | IBI=640 ms | Participant=P15
Row 2556 | Timestamp: 1712016578900 ms | PPG(Green=2415257, Red=2415257, Ir=2415257) | ACC(X=-5.58766603469849, Y=-5.11583995819092, Z=6.21756601333618) | HR=91 bpm | IBI=679 ms | Participant=P15
Row 2557 | Timestamp: 1712016578940 ms | PPG(Green=2415883, Red=2415883, Ir=2415883) | ACC(X=-5.53257989883423, Y=-5.1876916885376, Z=6.21517086029053) | HR=92 bpm | IBI=607 ms | Participant=P15
Row 2558 | Timestamp: 1712016578981 ms | PPG(Green=2417062, Red=2417062, Ir=2417062) | ACC(X=-5.49186372756958, Y=-5.11823511123657, Z=6.21756601333618) | HR=92 bpm | IBI=659 ms | Participant=P15
Row 2559 | Timestamp: 1712016579022 ms | PPG(Green=2418217, Red=2418217, Ir=2418217) | ACC(X=-5.52539443969727, Y=-5.11344480514526, Z=6.27265214920044) | HR=92 bpm | IBI=629 ms | Participant=P15
Row 2560 | Timestamp: 1712016579061 ms | PPG(Green=2419379, Red=2419379, Ir=2419379) | ACC(X=-5.58527088165283, Y=-5.13260555267334, Z=6.18882513046265) | HR=92 bpm | IBI=629 ms | Participant=P15
Row 2564 | Timestamp: 1712016579223 ms | PPG(Green=2419609, Red=2419609, Ir=2419609) | ACC(X=-5.48707389831543, Y=-5.20685195922852, Z=6.23912143707275) | HR=91 bpm | IBI=634 ms | Participant=P15
Row 2565 | Timestamp: 1712016579262 ms | PPG(Green=2414071, Red=2414071, Ir=2414071) | ACC(X=-5.52060461044312, Y=-5.05835866928101, Z=6.22954130172729) | HR=90 bpm | IBI=640 ms | Participant=P15
Row 2566 | Timestamp: 1712016579303 ms | PPG(Green=2410815, Red=2410815, Ir=2410815) | ACC(X=-5.51581430435181, Y=-5.21643257141113, Z=6.26307201385498) | HR=89 bpm | IBI=688 ms | Participant=P15
Row 2570 | Timestamp: 1712016579464 ms | PPG(Green=2407624, Red=2407624, Ir=2407624) | ACC(X=-5.49186372756958, Y=-5.14697551727295, Z=6.28462743759155) | HR=87 bpm | IBI=695 ms | Participant=P15
Row 2571 | Timestamp: 1712016579504 ms | PPG(Green=2406783, Red=2406783, Ir=2406783) | ACC(X=-5.47509860992432, Y=-5.16374111175537, Z=6.21277570724487) | HR=86 bpm | IBI=678 ms | Participant=P15
Row 2572 | Timestamp: 1712016579545 ms | PPG(Green=2406909, Red=2406909, Ir=2406909) | ACC(X=-5.47030830383301, Y=-5.19248199462891, Z=6.26546716690063) | HR=85 bpm | IBI=675 ms | Participant=P15
Row 2574 | Timestamp: 1712016579626 ms | PPG(Green=2408614, Red=2408614, Ir=2408614) | ACC(X=-5.57329559326172, Y=-5.17332124710083, Z=6.19601058959961) | HR=82 bpm | IBI=801 ms | Participant=P15
Row 2817 | Timestamp: 1712016589360 ms | PPG(Green=2382659, Red=2382659, Ir=2382659) | ACC(X=-5.66670274734497, Y=-5.10865497589111, Z=6.22475099563599) | HR=87 bpm | IBI=571 ms | Participant=P15
Row 3103 | Timestamp: 1712016600809 ms | PPG(Green=2342472, Red=2342472, Ir=2342472) | ACC(X=-5.47270345687866, Y=-5.24277782440186, Z=6.26546716690063) | HR=99 bpm | IBI=602 ms | Participant=P15
Row 3104 | Timestamp: 1712016600850 ms | PPG(Green=2343042, Red=2343042, Ir=2343042) | ACC(X=-5.49186372756958, Y=-5.19727182388306, Z=6.21756601333618) | HR=99 bpm | IBI=586 ms | Participant=P15
Row 3105 | Timestamp: 1712016600890 ms | PPG(Green=2344294, Red=2344294, Ir=2344294) | ACC(X=-5.45593786239624, Y=-5.25714826583862, Z=6.24151659011841) | HR=99 bpm | IBI=598 ms | Participant=P15
Row 3106 | Timestamp: 1712016600930 ms | PPG(Green=2345921, Red=2345921, Ir=2345921) | ACC(X=-5.508629322052, Y=-5.20206212997437, Z=6.20559072494507) | HR=99 bpm | IBI=674 ms | Participant=P15
Row 3107 | Timestamp: 1712016600970 ms | PPG(Green=2347398, Red=2347398, Ir=2347398) | ACC(X=-5.44396257400513, Y=-5.23798799514771, Z=6.22475099563599) | HR=99 bpm | IBI=706 ms | Participant=P15
Row 3129 | Timestamp: 1712016601853 ms | PPG(Green=2350099, Red=2350099, Ir=2350099) | ACC(X=-5.47270345687866, Y=-5.18290138244629, Z=6.22475099563599) | HR=96 bpm | IBI=962 ms | Participant=P15
Row 3157 | Timestamp: 1712016602975 ms | PPG(Green=2340399, Red=2340399, Ir=2340399) | ACC(X=-5.48946857452393, Y=-5.21403741836548, Z=6.25349187850952) | HR=93 bpm | IBI=729 ms | Participant=P15
Row 3461 | Timestamp: 1712016615170 ms | PPG(Green=2287041, Red=2287041, Ir=2287041) | ACC(X=-5.49186372756958, Y=-5.24038314819336, Z=6.19840526580811) | HR=107 bpm | IBI=868 ms | Participant=P15
