RowIndex,Reason,OriginalLine
0,HeartRate out of range,Row 0 | Timestamp: 1712226188896 ms | PPG(Green=2097152, Red=2097152, Ir=2097152) | ACC(X=1.37955236434937, Y=-1.11130607128143, Z=11.0340242385864) | HR=0 bpm | IBI=0 ms | Participant=P22
1,HeartRate out of range,Row 1 | Timestamp: 1712226188939 ms | PPG(Green=2081853, Red=2081853, Ir=2081853) | ACC(X=0.277826517820358, Y=-3.52791786193848, Z=12.0902433395386) | HR=0 bpm | IBI=0 ms | Participant=P22
2,HeartRate out of range,Row 2 | Timestamp: 1712226188977 ms | PPG(Green=2075758, Red=2075758, Ir=2075758) | ACC(X=-0.0095802247524261, Y=-2.37589573860169, Z=12.0183916091919) | HR=0 bpm | IBI=0 ms | Participant=P22
3,HeartRate out of range,Row 3 | Timestamp: 1712226189016 ms | PPG(Green=2075943, Red=2075943, Ir=2075943) | ACC(X=0.102987416088581, Y=-4.41887855529785, Z=9.98977947235107) | HR=0 bpm | IBI=0 ms | Participant=P22
4,HeartRate out of range,Row 4 | Timestamp: 1712226189056 ms | PPG(Green=2077598, Red=2077598, Ir=2077598) | ACC(X=0.881380677223206, Y=-5.0080623626709, Z=10.0376806259155) | HR=0 bpm | IBI=0 ms | Participant=P22
5,HeartRate out of range,Row 5 | Timestamp: 1712226189097 ms | PPG(Green=2078205, Red=2078205, Ir=2078205) | ACC(X=0.526912331581116, Y=-3.54707813262939, Z=9.19222545623779) | HR=0 bpm | IBI=0 ms | Participant=P22
6,HeartRate out of range,Row 6 | Timestamp: 1712226189137 ms | PPG(Green=2079850, Red=2079850, Ir=2079850) | ACC(X=0.88377571105957, Y=-2.75191950798035, Z=6.43791103363037) | HR=0 bpm | IBI=0 ms | Participant=P22
7,HeartRate out of range,Row 7 | Timestamp: 1712226189178 ms | PPG(Green=2082117, Red=2082117, Ir=2082117) | ACC(X=1.09454071521759, Y=-4.13147211074829, Z=3.43930077552795) | HR=0 bpm | IBI=0 ms | Participant=P22
8,HeartRate out of range,Row 8 | Timestamp: 1712226189217 ms | PPG(Green=2083344, Red=2083344, Ir=2083344) | ACC(X=1.0035285949707, Y=-8.84973239898682, Z=4.1386570930481) | HR=0 bpm | IBI=0 ms | Participant=P22
9,HeartRate out of range,Row 9 | Timestamp: 1712226189257 ms | PPG(Green=2084425, Red=2084425, Ir=2084425) | ACC(X=0.435900211334229, Y=-8.12882041931152, Z=5.71939420700073) | HR=0 bpm | IBI=0 ms | Participant=P22
10,HeartRate out of range,Row 10 | Timestamp: 1712226189297 ms | PPG(Green=2073973, Red=2073973, Ir=2073973) | ACC(X=-0.843059778213501, Y=-7.81506824493408, Z=6.31576299667358) | HR=0 bpm | IBI=0 ms | Participant=P22
