RowIndex,TimestampMs,PpgGreen,PpgRed,PpgIr,AccX,AccY,AccZ,HeartRate,IBI_ms
Row 85 | Timestamp: 1712226192304 ms | PPG(Green=4172641, Red=4172641, Ir=4172641) | ACC(X=-0.5340975522995, Y=-10.2676057815552, Z=-1.91843998432159) | HR=64 bpm | IBI=818 ms | Participant=P22
Row 685 | Timestamp: 1712226216335 ms | PPG(Green=2230586, Red=2230586, Ir=2230586) | ACC(X=-1.92802023887634, Y=-7.76716709136963, Z=-5.89662837982178) | HR=72 bpm | IBI=806 ms | Participant=P22
Row 1285 | Timestamp: 1712226240384 ms | PPG(Green=2084929, Red=2084929, Ir=2084929) | ACC(X=-2.10046434402466, Y=0.898146092891693, Z=-9.36706447601318) | HR=75 bpm | IBI=796 ms | Participant=P22
Row 1885 | Timestamp: 1712226264494 ms | PPG(Green=675920, Red=675920, Ir=675920) | ACC(X=-2.62977170944214, Y=-7.98032712936401, Z=-4.33744668960571) | HR=75 bpm | IBI=763 ms | Participant=P22
Row 1906 | Timestamp: 1712226265334 ms | PPG(Green=4185428, Red=4185428, Ir=4185428) | ACC(X=2.05016803741455, Y=-2.42140173912048, Z=-7.72884654998779) | HR=78 bpm | IBI=806 ms | Participant=P22
Row 2506 | Timestamp: 1712226289367 ms | PPG(Green=2023572, Red=2023572, Ir=2023572) | ACC(X=3.99495363235474, Y=-3.25727653503418, Z=8.36353588104248) | HR=74 bpm | IBI=942 ms | Participant=P22
Row 3100 | Timestamp: 1712226313191 ms | PPG(Green=1936639, Red=1936639, Ir=1936639) | ACC(X=3.64527559280396, Y=-3.99255871772766, Z=8.16235160827637) | HR=69 bpm | IBI=929 ms | Participant=P22
Row 3203 | Timestamp: 1712226317319 ms | PPG(Green=1928908, Red=1928908, Ir=1928908) | ACC(X=3.64767050743103, Y=-4.06441020965576, Z=8.18869686126709) | HR=93 bpm | IBI=390 ms | Participant=P22
Row 3301 | Timestamp: 1712226321248 ms | PPG(Green=1933544, Red=1933544, Ir=1933544) | ACC(X=3.62611508369446, Y=-3.98776865005493, Z=8.17193126678467) | HR=127 bpm | IBI=706 ms | Participant=P22
Row 3666 | Timestamp: 1712226335878 ms | PPG(Green=1926286, Red=1926286, Ir=1926286) | ACC(X=3.60934972763062, Y=-3.28841209411621, Z=8.4617338180542) | HR=130 bpm | IBI=459 ms | Participant=P22
Row 3667 | Timestamp: 1712226335919 ms | PPG(Green=1922813, Red=1922813, Ir=1922813) | ACC(X=3.61892986297607, Y=-3.42253518104553, Z=8.49286937713623) | HR=130 bpm | IBI=422 ms | Participant=P22
