timestamp,session,status
1710826380494,adaptation,ENTER
1710826688869,adaptation,EXIT
1710826688869,baseline,ENTER
1710826868287,baseline,EXIT
1710826905874,tsst-prep,ENTER
1710827087715,tsst-prep,EXIT
1710827087715,tsst-speech,ENTER
1710827271191,tsst-speech,EXIT
1710827357685,meditation-1,ENTER
1710827658431,meditation-1,EXIT
1710827694243,screen-reading,ENTER
1710827875937,screen-reading,EXIT
1710827915235,ssst-prep,ENTER
1710827945235,ssst-prep,EXIT
1710827945235,ssst-sing,ENTER
1710827977496,ssst-sing,EXIT
1710828021906,meditation-2,ENTER
1710828321219,meditation-2,EXIT
1710828358587,keyboard-typing,ENTER
1710828536959,keyboard-typing,EXIT
1710828546634,rest-1,ENTER
1710828666486,rest-1,EXIT
1710828696326,mobile-typing,ENTER
1710828875161,mobile-typing,EXIT
1710828887709,rest-2,ENTER
1710829006767,rest-2,EXIT
1710829029885,standing,ENTER
1710829209183,standing,EXIT
1710829216709,rest-3,ENTER
1710829334309,rest-3,EXIT
1710829384067,walking,ENTER
1710829502176,walking,EXIT
1710829514014,rest-4,ENTER
1710829632052,rest-4,EXIT
1710829657271,jogging,ENTER
1710829775497,jogging,EXIT
1710829784603,rest-5,ENTER
1710829903217,rest-5,EXIT
1710829934048,running,ENTER
1710830051426,running,EXIT
