phoneTimestamp,hr,hrv
1710864435829,98,
1710864436817,97,
1710864437832,96,
1710864438865,93,19.7
1710864439855,91,23.5
1710864440812,89,21.8
1710864441832,88,20.9
1710864442824,88,19.8
1710864443812,87,18.4
1710864444840,87,17.8
1710864445825,88,18.5
1710864446841,90,18.1
1710864447837,91,17.6
1710864448836,93,16.7
1710864449819,95,16.3
1710864450845,98,15.9
1710864451825,100,15.3
1710864452857,102,15.2
1710864453857,104,14.8
1710864454839,106,14.8
1710864455825,109,14.8
1710864456853,111,10.6
1710864457845,112,10.6
1710864458835,113,9.6
1710864459853,114,9.3
1710864460828,115,8.7
1710864461828,117,7.2
1710864462852,118,6.1
1710864463844,119,6.1
1710864464825,120,5.3
1710864465856,121,4.6
1710864466838,122,4.6
1710864467897,123,3.7
1710864468864,124,3.6
1710864469839,126,2.5
1710864470833,126,2.6
1710864471945,126,2.6
1710864472868,127,2.5
1710864473840,127,2.5
1710864474884,126,2.3
1710864475843,127,2.9
1710864476833,126,2.9
1710864477854,125,3.0
1710864478876,124,3.1
1710864479827,123,3.4
1710864480852,122,3.5
1710864481845,120,3.4
1710864482878,119,3.3
1710864483854,119,3.3
1710864484873,119,3.4
1710864485845,119,3.4
1710864486854,118,3.5
1710864487841,116,4.8
1710864488897,115,4.9
1710864489855,114,4.7
1710864490901,115,4.6
1710864491838,115,4.6
1710864492849,115,4.5
1710864493861,114,4.4
1710864494833,114,4.5
1710864495856,113,4.5
1710864496833,112,5.1
1710864497832,110,5.0
1710864498839,109,5.1
1710864499827,105,11.1
1710864500821,103,11.1
1710864501857,99,11.6
1710864502840,96,12.2
1710864503895,94,12.2
1710864504873,94,12.1
1710864505903,93,12.1
1710864506841,93,12.1
1710864507840,92,12.1
1710864508833,92,12.1
1710864509833,91,12.1
1710864510841,90,12.3
1710864511851,90,12.4
1710864512824,89,12.4
1710864513848,88,13.3
1710864514846,87,13.3
1710864515823,87,13.5
1710864516843,87,13.3
1710864517833,88,13.3
1710864518833,88,13.4
1710864519836,88,10.5
1710864520835,88,10.4
1710864521830,87,10.6
1710864522841,86,11.7
1710864523841,85,11.7
1710864524838,85,14.3
1710864525851,86,14.7
1710864526832,87,14.9
1710864527825,87,14.8
1710864528843,87,14.9
1710864529862,87,15.2
1710864530836,87,15.3
1710864531837,86,16.6
1710864532857,84,16.6
1710864533821,85,16.2
1710864534844,87,19.8
1710864535836,87,19.6
1710864536835,87,19.7
1710864537875,87,20.0
1710864538867,87,20.0
1710864539828,87,19.4
1710864540833,86,20.5
1710864541835,85,20.4
1710864542817,84,19.2
1710864543837,84,20.1
1710864544828,85,18.4
1710864545841,86,18.1
1710864546852,85,18.0
1710864547831,85,18.0
1710864548833,85,18.1
1710864549844,85,17.8
1710864550841,86,17.5
1710864551820,87,16.8
1710864552851,87,16.8
1710864553823,88,16.4
1710864554815,88,11.8
1710864555855,88,11.8
1710864556833,87,11.9
1710864557861,87,12.4
1710864558875,87,13.7
1710864559844,87,13.6
1710864560823,87,11.9
1710864561835,87,11.9
1710864562830,87,12.0
1710864563816,88,10.3
