x,y,z,timestamp
-20,-7,60,1712016400000000
-19,-7,61,1712016400031250
-20,-7,60,1712016400062500
-19,-7,60,1712016400093750
-20,-8,60,1712016400125000
-20,-7,60,1712016400156250
-20,-7,60,1712016400187500
-20,-7,60,1712016400218750
-21,-7,60,1712016400250000
-21,-7,60,1712016400281250
-21,-7,61,1712016400312500
-21,-7,60,1712016400343750
-21,-7,60,1712016400375000
-22,-7,60,1712016400406250
-21,-7,60,1712016400437500
-22,-7,60,1712016400468750
-22,-7,60,1712016400500000
-22,-7,60,1712016400531250
-22,-7,60,1712016400562500
-22,-7,60,1712016400593750
-22,-7,60,1712016400625000
-21,-7,60,1712016400656250
-21,-7,60,1712016400687500
-21,-8,60,1712016400718750
-22,-7,60,1712016400750000
-22,-7,59,1712016400781250
-22,-7,60,1712016400812500
-22,-7,60,1712016400843750
-22,-7,60,1712016400875000
-22,-7,60,1712016400906250
-22,-7,60,1712016400937500
-22,-7,60,1712016400968750
-23,-7,59,1712016401000000
-22,-7,59,1712016401031250
-22,-7,59,1712016401062500
-22,-7,59,1712016401093750
-23,-7,59,1712016401125000
-23,-7,60,1712016401156250
-23,-7,60,1712016401187500
-23,-7,60,1712016401218750
-23,-7,60,1712016401250000
-23,-7,59,1712016401281250
-23,-7,60,1712016401312500
-23,-6,59,1712016401343750
-23,-5,60,1712016401375000
-23,-6,59,1712016401406250
-22,-8,60,1712016401437500
-22,-7,59,1712016401468750
-24,-7,59,1712016401500000
-24,-6,60,1712016401531250
-23,-7,59,1712016401562500
-23,-7,59,1712016401593750
-22,-7,60,1712016401625000
-23,-7,59,1712016401656250
-23,-7,60,1712016401687500
-23,-7,60,1712016401718750
-23,-7,59,1712016401750000
-23,-7,60,1712016401781250
-25,-7,58,1712016401812500
-23,-7,59,1712016401843750
-23,-7,60,1712016401875000
-23,-7,60,1712016401906250
-23,-7,59,1712016401937500
-23,-7,60,1712016401968750
-23,-7,60,1712016402000000
-23,-7,60,1712016402031250
-22,-7,60,1712016402062500
-23,-7,60,1712016402093750
-23,-7,59,1712016402125000
-23,-7,59,1712016402156250
-23,-7,59,1712016402187500
-23,-6,60,1712016402218750
-23,-7,60,1712016402250000
-23,-7,59,1712016402281250
-22,-6,60,1712016402312500
-23,-7,59,1712016402343750
-22,-6,60,1712016402375000
-23,-8,59,1712016402406250
-23,-7,59,1712016402437500
-23,-7,60,1712016402468750
-23,-7,60,1712016402500000
-22,-7,59,1712016402531250
-23,-7,59,1712016402562500
-22,-7,60,1712016402593750
-23,-7,60,1712016402625000
-23,-7,60,1712016402656250
-24,-6,59,1712016402687500
-23,-6,60,1712016402718750
-23,-6,59,1712016402750000
-24,-7,59,1712016402781250
-22,-7,60,1712016402812500
-24,-6,59,1712016402843750
-23,-6,60,1712016402875000
-23,-6,60,1712016402906250
-23,-7,60,1712016402937500
-22,-6,60,1712016402968750
-25,-6,59,1712016403000000
-21,-7,60,1712016403031250
-23,-7,59,1712016403062500
-23,-6,60,1712016403093750
-23,-7,60,1712016403125000
-23,-7,60,1712016403156250
-22,-7,60,1712016403187500
-24,-7,59,1712016403218750
-23,-7,60,1712016403250000
-23,-7,59,1712016403281250
-23,-7,60,1712016403312500
-23,-7,60,1712016403343750
-23,-7,59,1712016403375000
-23,-7,59,1712016403406250
-23,-7,59,1712016403437500
-23,-6,59,1712016403468750
-23,-7,60,1712016403500000
-23,-7,60,1712016403531250
-23,-7,59,1712016403562500
-24,-6,60,1712016403593750
-23,-6,60,1712016403625000
-22,-7,59,1712016403656250
-23,-7,59,1712016403687500
-23,-7,60,1712016403718750
-24,-6,60,1712016403750000
-23,-6,59,1712016403781250
-23,-6,60,1712016403812500
-23,-6,59,1712016403843750
-23,-6,59,1712016403875000
-23,-6,59,1712016403906250
-23,-6,60,1712016403937500
-23,-6,60,1712016403968750
-23,-6,59,1712016404000000
-23,-6,59,1712016404031250
-23,-6,60,1712016404062500
-23,-6,59,1712016404093750
-23,-6,59,1712016404125000
-23,-7,59,1712016404156250
-23,-6,60,1712016404187500
-23,-6,60,1712016404218750
-23,-7,59,1712016404250000
-23,-7,60,1712016404281250
-23,-6,59,1712016404312500
-23,-7,60,1712016404343750
-23,-6,59,1712016404375000
-23,-7,59,1712016404406250
-23,-7,60,1712016404437500
-23,-6,60,1712016404468750
-23,-6,59,1712016404500000
-23,-6,59,1712016404531250
-23,-7,60,1712016404562500
-23,-6,59,1712016404593750
-23,-7,59,1712016404625000
-23,-7,59,1712016404656250
-24,-7,59,1712016404687500
-23,-6,59,1712016404718750
-23,-6,60,1712016404750000
-24,-7,59,1712016404781250
-23,-6,59,1712016404812500
-23,-6,59,1712016404843750
-23,-6,59,1712016404875000
-23,-6,60,1712016404906250
-24,-6,60,1712016404937500
-23,-6,59,1712016404968750
-23,-6,60,1712016405000000
-23,-6,60,1712016405031250
-23,-7,59,1712016405062500
-23,-7,60,1712016405093750
-23,-7,60,1712016405125000
-23,-6,60,1712016405156250
-23,-6,59,1712016405187500
-23,-7,59,1712016405218750
-23,-7,59,1712016405250000
-23,-6,59,1712016405281250
-23,-6,59,1712016405312500
-24,-6,60,1712016405343750
-23,-6,59,1712016405375000
-23,-6,59,1712016405406250
-23,-6,59,1712016405437500
-23,-7,59,1712016405468750
-24,-6,59,1712016405500000
-23,-6,59,1712016405531250
-23,-6,59,1712016405562500
-23,-6,60,1712016405593750
-23,-6,60,1712016405625000
-23,-7,59,1712016405656250
-23,-6,59,1712016405687500
-23,-6,59,1712016405718750
-23,-6,60,1712016405750000
-23,-6,59,1712016405781250
-23,-6,59,1712016405812500
-23,-6,60,1712016405843750
-23,-6,59,1712016405875000
-23,-7,60,1712016405906250
-23,-6,60,1712016405937500
-23,-6,60,1712016405968750
-23,-6,59,1712016406000000
-23,-6,60,1712016406031250
-23,-6,59,1712016406062500
-23,-6,59,1712016406093750
-24,-6,59,1712016406125000
-23,-7,59,1712016406156250
-23,-6,59,1712016406187500
-23,-6,60,1712016406218750
-23,-6,60,1712016406250000
-23,-6,59,1712016406281250
-23,-6,59,1712016406312500
-23,-6,59,1712016406343750
-24,-6,59,1712016406375000
-23,-6,60,1712016406406250
-23,-7,59,1712016406437500
-23,-6,60,1712016406468750
-24,-6,59,1712016406500000
-23,-6,59,1712016406531250
-23,-6,59,1712016406562500
-23,-6,60,1712016406593750
-23,-6,59,1712016406625000
-23,-6,60,1712016406656250
-23,-6,59,1712016406687500
-23,-6,60,1712016406718750
-23,-6,60,1712016406750000
-23,-6,60,1712016406781250
-23,-6,59,1712016406812500
-23,-6,59,1712016406843750
-23,-6,59,1712016406875000
-23,-6,59,1712016406906250
-23,-6,59,1712016406937500
-23,-6,59,1712016406968750
-23,-6,60,1712016407000000
-23,-6,60,1712016407031250
-23,-6,60,1712016407062500
-23,-6,59,1712016407093750
-23,-6,59,1712016407125000
-23,-6,59,1712016407156250
-23,-6,59,1712016407187500
-23,-6,59,1712016407218750
-23,-6,60,1712016407250000
-23,-6,59,1712016407281250
-23,-6,59,1712016407312500
-24,-6,59,1712016407343750
-23,-6,60,1712016407375000
-23,-6,59,1712016407406250
-24,-6,59,1712016407437500
-23,-6,60,1712016407468750
-23,-6,59,1712016407500000
-23,-6,59,1712016407531250
-24,-6,59,1712016407562500
-23,-6,60,1712016407593750
-23,-6,59,1712016407625000
-23,-6,59,1712016407656250
-24,-6,59,1712016407687500
-23,-6,59,1712016407718750
-23,-6,59,1712016407750000
-24,-6,59,1712016407781250
-23,-6,59,1712016407812500
-23,-6,59,1712016407843750
-23,-6,59,1712016407875000
-24,-6,60,1712016407906250
-23,-6,59,1712016407937500
-23,-6,59,1712016407968750
-24,-6,60,1712016408000000
-23,-6,60,1712016408031250
-24,-6,59,1712016408062500
-23,-6,59,1712016408093750
-23,-6,60,1712016408125000
-23,-6,59,1712016408156250
-23,-6,60,1712016408187500
-23,-6,59,1712016408218750
-24,-6,59,1712016408250000
-24,-6,59,1712016408281250
-23,-6,59,1712016408312500
-24,-6,59,1712016408343750
-23,-6,60,1712016408375000
-23,-6,59,1712016408406250
-23,-6,60,1712016408437500
-23,-6,59,1712016408468750
-23,-6,60,1712016408500000
-23,-6,60,1712016408531250
-23,-6,59,1712016408562500
-23,-6,59,1712016408593750
-24,-6,59,1712016408625000
-23,-6,59,1712016408656250
-24,-6,59,1712016408687500
-23,-6,59,1712016408718750
-23,-6,59,1712016408750000
-24,-6,59,1712016408781250
-23,-6,60,1712016408812500
-23,-6,59,1712016408843750
-24,-6,60,1712016408875000
-23,-5,59,1712016408906250
-23,-6,59,1712016408937500
-23,-6,60,1712016408968750
-24,-5,59,1712016409000000
-24,-7,60,1712016409031250
-25,-7,60,1712016409062500
-25,-7,60,1712016409093750
-23,-6,59,1712016409125000
-22,-5,58,1712016409156250
-23,-7,58,1712016409187500
-24,-5,60,1712016409218750
-22,-5,61,1712016409250000
-25,-6,59,1712016409281250
-24,-5,60,1712016409312500
-24,-6,59,1712016409343750
-25,-6,59,1712016409375000
-24,-6,59,1712016409406250
-24,-6,59,1712016409437500
-25,-6,59,1712016409468750
-25,-6,59,1712016409500000
-24,-6,59,1712016409531250
-24,-6,59,1712016409562500
-24,-6,59,1712016409593750
-24,-6,59,1712016409625000
-24,-5,59,1712016409656250
-24,-6,60,1712016409687500
-24,-6,59,1712016409718750
-25,-6,59,1712016409750000
-25,-6,59,1712016409781250
-25,-6,59,1712016409812500
-24,-6,59,1712016409843750
-24,-6,58,1712016409875000
-24,-6,59,1712016409906250
-24,-6,60,1712016409937500
-25,-6,59,1712016409968750
-24,-5,59,1712016410000000
-25,-5,59,1712016410031250
-25,-6,59,1712016410062500
-24,-6,60,1712016410093750
-24,-6,59,1712016410125000
-24,-6,59,1712016410156250
-24,-6,59,1712016410187500
-24,-6,59,1712016410218750
-24,-5,59,1712016410250000
-23,-4,59,1712016410281250
-25,-5,59,1712016410312500
-25,-5,60,1712016410343750
-25,-6,59,1712016410375000
-25,-6,59,1712016410406250
-24,-6,59,1712016410437500
-25,-6,60,1712016410468750
-25,-6,59,1712016410500000
-24,-6,59,1712016410531250
-24,-5,59,1712016410562500
-24,-5,59,1712016410593750
-24,-5,59,1712016410625000
-25,-5,59,1712016410656250
-25,-6,59,1712016410687500
-25,-5,59,1712016410718750
-25,-6,59,1712016410750000
-25,-5,59,1712016410781250
-24,-6,59,1712016410812500
-24,-6,59,1712016410843750
-24,-5,59,1712016410875000
