dataReceived,timestamp,hr,hrStatus,ibi,ibiStatus
1712021978313,1712021978480,0,0,[],[]
1712021979279,1712021979483,0,0,[],[]
1712021980309,1712021980493,0,0,[],[]
1712021981412,1712021981496,0,0,[],[]
1712021982310,1712021982499,0,0,[],[]
1712022448389,1712021983961,0,0,"[877,760,640,702,718,767,793,1017,430,738,716,679,731,720,720,704,767,738,720,1315,765,690,659,913,367,651,659,682,796,619,1013,1531,772,847,788,712,742,760,816,808,715,680,755,689,591,989,1377,551,1116,766,668,651,622,775,1216,1269,835,868,690,882,1213,1189,574,1259,1475,709,266,908,808,675,883,503,649,1040,287,696,654,639,620,626,648,661,678,674,646,625,610,600,599,526,639,675,730,732,735,734,626,672,676,653,631,611,610,591,608,636,639,642,874,945,937,870,775,766,771,758,821,736,710,674,669,682,920,918,917,871,866,863,824,768,727,757,797,813,767,772,733,761,802,800,787,743,745,742,697,672,651,630,638,676,847,875,843,789,780,826,840,832,787,760,790,873,893,831,765,829,878,946,924,844,809,873,901,931,883,809,811,835,895,869,787,773,832,870,875,829,817,914,939,948,882,761,814,902,922,834,764,809,848,849,814,758,766,799,804,809,727,766,788,805,809,760,761,790,810,799,759,792,873,824,767,774,760,808,754,725,699,681,655,637,610,627,620,663,843,877,863,822,715,704,667,659,667,706,830,881,841,795,726,691,716,777,921,901,890,867,809,796,880,909,917,912,844,849,921,916,914,857,914,904,853,809,747,755,826,872,889,836,794,843,889,910,866,811,782,821,836,818,767,794,842,912,853,823,886,900,856,783,771,797,836,775,777,817,842,815,763,795,805,856,804,803,839,788,781,711,723,760,787,786,736,729,804,835,833,466,260,705,679,700,674,637,632,634,627,619,625,648,703,737,740,756,676,706,718,755,728,701,704,761,785,798,804,718,806,799,915,881,808,825,871,878,825,784,803,848,888,829,892,879,898,838,799,839,845,809,750,759,835,920,878,856,827,913,888,809,798,821,878,846,804,852,910,895,837,821,917,937,892,829,853,897,873,798,795,853,902,895,793,798,835,840,806,791,811,894,914,888,826,827,797,746,672,647,681,671,653,644,618,621,633,660,684,703,722,692,676,701,733,790,778,704,698,744,848,959,904,840,799,927,993,971,897,907,916,960,949,890,892,929,910,833,839,974,979,913,832,890,925,965,896,785,798,829,914,848,804,779,937,991,970,900,892,912,897,863,729,810,949,948,932,849,877,876,844,790,826,938,885,795,794,814,802,765,737,750,756,746,702,677,695,737,745,679,741,855,899,797,821,844,817,745,776,809,831,736,747,720,803,764,749,802,852,824,767,826,862,834,799,768,768,826,838,799,879,957,886,826,907,956,907,844,848,919,899,850,873,920,917,887,802,800,871,921,853,888,947,958,922,844]","[-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
1712022448389,1712021984961,0,0,[],[]
1712022448389,1712021985961,0,0,[],[]
1712022448389,1712021986961,0,0,[],[]
1712022448389,1712021987961,0,0,[],[]
