phoneTimestamp,sensorTimestamp,ecg
1712089049694,599616078533124186,18097
1712089049701,599616078540789429,18111
1712089049709,599616078548454672,18006
1712089049716,599616078556119915,17932
1712089049724,599616078563785158,17841
1712089049732,599616078571450401,17735
1712089049739,599616078579115644,17763
1712089049747,599616078586780887,17802
1712089049755,599616078594446130,17694
1712089049761,599616078602111373,17538
1712089049769,599616078609776616,17410
1712089049777,599616078617441859,17311
1712089049785,599616078625107102,17252
1712089049793,599616078632772345,17247
1712089049801,599616078640437588,17270
1712089049808,599616078648102831,17130
1712089049816,599616078655768074,16860
1712089049824,599616078663433317,16732
1712089049831,599616078671098560,16709
1712089049839,599616078678763803,16798
1712089049847,599616078686429046,16826
1712089049854,599616078694094289,16336
1712089049862,599616078701759532,15820
1712089049870,599616078709424775,15880
1712089049877,599616078717090018,15912
1712089049885,599616078724755261,15557
1712089049893,599616078732420504,15412
1712089049900,599616078740085747,15442
1712089049908,599616078747750990,15160
1712089049916,599616078755416233,14918
1712089049923,599616078763081476,14924
1712089049931,599616078770746719,14858
1712089049939,599616078778411962,14798
1712089049945,599616078786077205,14780
1712089049953,599616078793742448,14556
1712089049961,599616078801407691,14313
1712089049969,599616078809072934,14301
1712089049977,599616078816738177,14322
1712089049985,599616078824403420,14203
1712089049992,599616078832068663,14003
1712089050000,599616078839733906,13777
1712089050008,599616078847399149,13571
1712089050015,599616078855064392,13447
1712089050023,599616078862729635,13369
1712089050031,599616078870394878,13298
1712089050038,599616078878060121,13229
1712089050046,599616078885725364,13069
1712089050054,599616078893390607,12847
1712089050061,599616078901055850,12711
1712089050069,599616078908721093,12640
1712089050077,599616078916386336,12565
1712089050084,599616078924051579,12487
1712089050092,599616078931716822,12354
1712089050100,599616078939382065,12162
1712089050107,599616078947047308,12008
1712089050115,599616078954712551,11992
1712089050123,599616078962377794,12006
1712089050129,599616078970043037,11825
1712089050137,599616078977708280,11529
1712089050145,599616078985373523,11342
1712089050153,599616078993038766,11216
1712089050161,599616079000704009,11025
1712089050169,599616079008369252,10856
1712089050176,599616079016034495,10764
1712089050184,599616079023699738,10663
1712089050192,599616079031364981,10531
1712089050199,599616079039030224,10356
1712089050207,599616079046695467,10214
1712089050215,599616079054360710,10171
1712089050222,599616079062025953,10086
1712089050230,599616079069691196,9942
1712089050238,599616079077356439,9855
1712089050245,599616079085021682,9754
1712089050253,599616079092646798,9598
1712089050261,599616079100312599,9529
1712089050268,599616079107978400,9481
1712089050276,599616079115644201,9348
1712089050284,599616079123310002,9261
1712089050291,599616079130975803,9179
1712089050299,599616079138641604,9012
1712089050307,599616079146307405,8906
1712089050313,599616079153973206,8844
1712089050321,599616079161639007,8689
1712089050329,599616079169304808,8563
1712089050337,599616079176970609,8579
1712089050345,599616079184636410,8556
