value,timestamp
71.0,1712814181000000
71.0,1712814182000000
70.33,1712814183000000
70.75,1712814184000000
71.6,1712814185000000
72.83,1712814186000000
73.86,1712814187000000
74.5,1712814188000000
75.0,1712814189000000
75.4,1712814190000000
75.64,1712814191000000
75.83,1712814192000000
75.85,1712814193000000
75.86,1712814194000000
75.87,1712814195000000
75.94,1712814196000000
76.12,1712814197000000
76.33,1712814198000000
76.63,1712814199000000
76.95,1712814200000000
77.33,1712814201000000
77.73,1712814202000000
78.09,1712814203000000
78.42,1712814204000000
78.68,1712814205000000
78.96,1712814206000000
79.22,1712814207000000
79.46,1712814208000000
79.72,1712814209000000
80.13,1712814210000000
80.45,1712814211000000
80.75,1712814212000000
81.03,1712814213000000
81.29,1712814214000000
81.49,1712814215000000
81.67,1712814216000000
81.84,1712814217000000
81.97,1712814218000000
82.1,1712814219000000
82.25,1712814220000000
82.39,1712814221000000
82.52,1712814222000000
82.63,1712814223000000
82.7,1712814224000000
82.76,1712814225000000
82.78,1712814226000000
82.83,1712814227000000
82.85,1712814228000000
82.88,1712814229000000
82.92,1712814230000000
83.0,1712814231000000
83.13,1712814232000000
83.26,1712814233000000
83.39,1712814234000000
83.51,1712814235000000
83.62,1712814236000000
83.74,1712814237000000
83.83,1712814238000000
83.92,1712814239000000
83.97,1712814240000000
84.25,1712814241000000
84.53,1712814242000000
84.85,1712814243000000
85.1,1712814244000000
85.3,1712814245000000
85.4,1712814246000000
85.47,1712814247000000
85.55,1712814248000000
85.63,1712814249000000
85.72,1712814250000000
85.82,1712814251000000
85.92,1712814252000000
86.03,1712814253000000
86.17,1712814254000000
86.3,1712814255000000
86.4,1712814256000000
86.45,1712814257000000
86.45,1712814258000000
86.38,1712814259000000
86.28,1712814260000000
86.15,1712814261000000
85.98,1712814262000000
85.8,1712814263000000
85.57,1712814264000000
85.35,1712814265000000
85.12,1712814266000000
84.9,1712814267000000
84.7,1712814268000000
84.5,1712814269000000
84.23,1712814270000000
84.0,1712814271000000
83.75,1712814272000000
83.5,1712814273000000
83.27,1712814274000000
83.08,1712814275000000
82.9,1712814276000000
82.72,1712814277000000
82.53,1712814278000000
82.35,1712814279000000
82.12,1712814280000000
81.88,1712814281000000
81.65,1712814282000000
81.43,1712814283000000
81.23,1712814284000000
81.05,1712814285000000
80.88,1712814286000000
80.68,1712814287000000
80.48,1712814288000000
80.28,1712814289000000
80.07,1712814290000000
79.83,1712814291000000
79.55,1712814292000000
79.28,1712814293000000
79.02,1712814294000000
78.75,1712814295000000
78.47,1712814296000000
78.18,1712814297000000
77.92,1712814298000000
77.67,1712814299000000
77.47,1712814300000000
77.25,1712814301000000
77.03,1712814302000000
76.8,1712814303000000
76.58,1712814304000000
76.37,1712814305000000
76.2,1712814306000000
76.08,1712814307000000
76.0,1712814308000000
75.9,1712814309000000
75.8,1712814310000000
75.68,1712814311000000
75.55,1712814312000000
75.43,1712814313000000
75.28,1712814314000000
75.13,1712814315000000
75.02,1712814316000000
74.9,1712814317000000
74.82,1712814318000000
74.75,1712814319000000
74.7,1712814320000000
74.63,1712814321000000
74.58,1712814322000000
74.57,1712814323000000
74.6,1712814324000000
74.65,1712814325000000
74.68,1712814326000000
74.7,1712814327000000
74.7,1712814328000000
74.7,1712814329000000
74.7,1712814330000000
74.73,1712814331000000
74.82,1712814332000000
74.92,1712814333000000
75.0,1712814334000000
75.07,1712814335000000
75.13,1712814336000000
75.18,1712814337000000
75.23,1712814338000000
75.27,1712814339000000
75.32,1712814340000000
75.37,1712814341000000
75.4,1712814342000000
75.42,1712814343000000
75.42,1712814344000000
75.4,1712814345000000
75.38,1712814346000000
75.38,1712814347000000
75.42,1712814348000000
75.47,1712814349000000
75.53,1712814350000000
75.58,1712814351000000
75.63,1712814352000000
75.65,1712814353000000
75.67,1712814354000000
75.67,1712814355000000
75.7,1712814356000000
75.7,1712814357000000
75.7,1712814358000000
75.67,1712814359000000
75.63,1712814360000000
75.58,1712814361000000
75.53,1712814362000000
75.5,1712814363000000
75.47,1712814364000000
75.45,1712814365000000
75.43,1712814366000000
75.4,1712814367000000
75.3,1712814368000000
75.23,1712814369000000
75.2,1712814370000000
75.22,1712814371000000
75.27,1712814372000000
75.3,1712814373000000
75.43,1712814374000000
75.57,1712814375000000
75.67,1712814376000000
75.65,1712814377000000
75.63,1712814378000000
75.58,1712814379000000
75.57,1712814380000000
75.58,1712814381000000
75.58,1712814382000000
75.6,1712814383000000
75.62,1712814384000000
75.6,1712814385000000
75.6,1712814386000000
75.6,1712814387000000
75.6,1712814388000000
75.6,1712814389000000
75.58,1712814390000000
75.53,1712814391000000
75.47,1712814392000000
75.37,1712814393000000
75.27,1712814394000000
75.17,1712814395000000
75.07,1712814396000000
74.98,1712814397000000
74.92,1712814398000000
74.87,1712814399000000
74.83,1712814400000000
74.8,1712814401000000
74.77,1712814402000000
74.75,1712814403000000
74.75,1712814404000000
74.77,1712814405000000
74.78,1712814406000000
74.8,1712814407000000
74.8,1712814408000000
74.8,1712814409000000
74.78,1712814410000000
74.77,1712814411000000
74.75,1712814412000000
74.73,1712814413000000
74.72,1712814414000000
74.72,1712814415000000
74.7,1712814416000000
74.72,1712814417000000
74.75,1712814418000000
74.8,1712814419000000
74.85,1712814420000000
74.92,1712814421000000
74.97,1712814422000000
75.02,1712814423000000
75.05,1712814424000000
75.05,1712814425000000
75.03,1712814426000000
75.0,1712814427000000
75.02,1712814428000000
75.03,1712814429000000
75.02,1712814430000000
74.98,1712814431000000
74.93,1712814432000000
74.9,1712814433000000
74.8,1712814434000000
74.68,1712814435000000
74.58,1712814436000000
74.6,1712814437000000
74.62,1712814438000000
74.68,1712814439000000
74.72,1712814440000000
74.73,1712814441000000
74.77,1712814442000000
74.78,1712814443000000
74.82,1712814444000000
74.88,1712814445000000
74.95,1712814446000000
75.0,1712814447000000
75.07,1712814448000000
75.08,1712814449000000
75.1,1712814450000000
75.12,1712814451000000
75.12,1712814452000000
75.12,1712814453000000
75.12,1712814454000000
75.12,1712814455000000
75.13,1712814456000000
75.15,1712814457000000
75.15,1712814458000000
75.17,1712814459000000
75.18,1712814460000000
75.22,1712814461000000
75.25,1712814462000000
75.28,1712814463000000
75.32,1712814464000000
75.35,1712814465000000
75.37,1712814466000000
75.4,1712814467000000
75.42,1712814468000000
75.4,1712814469000000
75.38,1712814470000000
75.37,1712814471000000
75.35,1712814472000000
75.35,1712814473000000
75.35,1712814474000000
75.35,1712814475000000
75.35,1712814476000000
75.35,1712814477000000
75.35,1712814478000000
75.35,1712814479000000
75.32,1712814480000000
75.28,1712814481000000
75.28,1712814482000000
75.28,1712814483000000
75.3,1712814484000000
75.33,1712814485000000
75.37,1712814486000000
75.4,1712814487000000
75.42,1712814488000000
75.42,1712814489000000
75.42,1712814490000000
75.38,1712814491000000
75.35,1712814492000000
75.32,1712814493000000
75.27,1712814494000000
75.23,1712814495000000
75.22,1712814496000000
75.22,1712814497000000
75.23,1712814498000000
75.27,1712814499000000
75.28,1712814500000000
75.3,1712814501000000
75.32,1712814502000000
75.33,1712814503000000
75.33,1712814504000000
75.33,1712814505000000
75.33,1712814506000000
75.35,1712814507000000
75.33,1712814508000000
75.33,1712814509000000
75.23,1712814510000000
75.17,1712814511000000
75.15,1712814512000000
75.15,1712814513000000
75.13,1712814514000000
75.12,1712814515000000
75.1,1712814516000000
75.1,1712814517000000
75.13,1712814518000000
75.15,1712814519000000
75.13,1712814520000000
75.07,1712814521000000
75.02,1712814522000000
74.97,1712814523000000
74.92,1712814524000000
74.88,1712814525000000
74.87,1712814526000000
74.85,1712814527000000
74.85,1712814528000000
74.88,1712814529000000
74.95,1712814530000000
75.02,1712814531000000
75.05,1712814532000000
75.07,1712814533000000
75.08,1712814534000000
75.1,1712814535000000
75.12,1712814536000000
75.13,1712814537000000
75.17,1712814538000000
75.18,1712814539000000
75.22,1712814540000000
75.25,1712814541000000
75.28,1712814542000000
75.3,1712814543000000
75.32,1712814544000000
75.28,1712814545000000
75.27,1712814546000000
75.22,1712814547000000
75.17,1712814548000000
75.12,1712814549000000
75.07,1712814550000000
75.05,1712814551000000
75.07,1712814552000000
75.08,1712814553000000
75.08,1712814554000000
75.08,1712814555000000
75.07,1712814556000000
75.05,1712814557000000
75.02,1712814558000000
74.97,1712814559000000
74.93,1712814560000000
74.9,1712814561000000
74.88,1712814562000000
74.83,1712814563000000
74.78,1712814564000000
74.7,1712814565000000
74.63,1712814566000000
74.57,1712814567000000
74.52,1712814568000000
74.48,1712814569000000
74.57,1712814570000000
74.62,1712814571000000
74.63,1712814572000000
74.65,1712814573000000
74.68,1712814574000000
