value,timestamp
-0.0,1712819484000000
-0.0,1712819484015625
-0.0,1712819484031250
-0.0,1712819484046875
-0.0,1712819484062500
-0.0,1712819484078125
-0.0,1712819484093750
-0.0,1712819484109375
-0.0,1712819484125000
-0.0,1712819484140625
0.0,1712819484156250
0.01,1712819484171875
0.01,1712819484187500
-0.0,1712819484203125
-0.03,1712819484218750
-0.05,1712819484234375
-0.05,1712819484250000
0.0,1712819484265625
0.13,1712819484281250
0.36,1712819484296875
0.66,1712819484312500
1.01,1712819484328125
1.37,1712819484343750
1.72,1712819484359375
2.06,1712819484375000
2.4,1712819484390625
2.79,1712819484406250
3.24,1712819484421875
3.8,1712819484437500
4.42,1712819484453125
5.06,1712819484468750
5.66,1712819484484375
6.2,1712819484500000
6.68,1712819484515625
7.15,1712819484531250
7.68,1712819484546875
8.31,1712819484562500
9.14,1712819484578125
10.09,1712819484593750
11.04,1712819484609375
11.88,1712819484625000
12.56,1712819484640625
13.14,1712819484656250
13.76,1712819484671875
14.65,1712819484687500
15.96,1712819484703125
17.91,1712819484718750
20.32,1712819484734375
22.9,1712819484750000
25.38,1712819484765625
27.58,1712819484781250
29.57,1712819484796875
31.68,1712819484812500
34.32,1712819484828125
37.81,1712819484843750
42.54,1712819484859375
48.15,1712819484875000
54.1,1712819484890625
59.83,1712819484906250
64.97,1712819484921875
69.58,1712819484937500
74.14,1712819484953125
79.34,1712819484968750
85.71,1712819484984375
93.76,1712819485000000
103.0,1712819485015625
112.62,1712819485031250
121.73,1712819485046875
129.77,1712819485062500
136.75,1712819485078125
143.3,1712819485093750
150.75,1712819485109375
157.77,1712819485125000
166.64,1712819485140625
177.95,1712819485156250
191.79,1712819485171875
206.97,1712819485187500
220.57,1712819485203125
228.25,1712819485218750
225.36,1712819485234375
208.53,1712819485250000
176.87,1712819485265625
132.76,1712819485281250
80.05,1712819485296875
23.07,1712819485312500
-34.94,1712819485328125
-92.44,1712819485343750
-149.16,1712819485359375
-205.23,1712819485375000
-260.37,1712819485390625
-313.74,1712819485406250
-363.87,1712819485421875
-409.83,1712819485437500
-450.91,1712819485453125
-486.5,1712819485468750
-515.74,1712819485484375
-537.23,1712819485500000
-549.22,1712819485515625
-549.96,1712819485531250
